Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,E[M],sigmaM,DN,Source
1866,9,14,0,0,0.0,46.8,1.2,4.98,0.32,196,EPRI
1867,4,24,0,0,0.0,39.17,-96.3,5.08,0.15,235,EPRI
1867,12,18,0,0,0.0,44.7,-75.2,4.4,0.15,226,EPRI
1868,6,18,0,0,0.0,-32.8,151.6,4.64,0.32,27,EPRI
1868,9,30,0,0,0.0,24.0,85.0,5.25,0.5,111,EPRI
1869,10,22,0,0,0.0,45.0,-67.5,5.47,0.32,222,EPRI
1870,10,20,0,0,0.0,47.4,-70.5,6.55,0.48,226,EPRI
1872,3,6,0,0,0.0,50.86,12.28,4.9,0.32,192,EPRI
1872,4,14,0,0,0.0,5.5,-0.4,5.06,0.44,92,EPRI
1873,7,19,0,0,0.0,44.48,4.72,5.2,0.32,195,EPRI
1873,12,15,0,0,0.0,-26.8,127.2,6.04,0.7,9,EPRI
1875,6,18,0,0,0.0,40.2,-84.0,4.6,0.32,235,EPRI
1875,8,17,0,0,0.0,50.3,24.2,4.86,0.44,167,EPRI
1875,12,12,0,0,0.0,31.57,74.35,5.53,0.5,113,EPRI
1875,12,23,0,0,0.0,37.8,-78.0,4.77,0.32,218,EPRI
1877,11,4,0,0,0.0,44.5,-74.0,4.71,0.32,226,EPRI
1877,11,15,0,0,0.0,41.0,-97.0,5.05,0.32,255,EPRI
1878,1,28,0,0,0.0,49.8,-0.3,4.78,0.32,196,EPRI
1878,8,26,0,0,0.0,50.9,6.4,4.94,0.32,195,EPRI
1879,2,11,0,0,0.0,6.5,-3.3,5.56,0.32,100,EPRI
1880,2,3,0,0,0.0,-43.0,146.4,4.62,0.32,26,EPRI
1880,11,28,0,0,0.0,56.4,-7.3,4.88,0.32,184,EPRI
1882,1,0,0,0,0.0,8.6,81.2,5.81,0.5,107,EPRI
1882,3,15,0,0,0.0,54.7,83.2,5.24,0.44,156,EPRI
1882,10,22,0,0,0.0,35.9,-95.1,5.58,0.32,231,EPRI
1883,8,0,0,0,0.0,30.0,9.5,4.93,0.44,89,EPRI
1883,8,28,0,0,0.0,-25.5,151.7,5.12,0.32,28,EPRI
1884,4,22,0,0,0.0,51.83,0.92,4.8,0.32,187,EPRI
1884,7,13,0,0,0.0,-40.5,148.5,5.66,0.32,26,EPRI
1884,8,10,0,0,0.0,40.6,-74.0,4.79,0.32,218,EPRI
1885,1,5,0,0,0.0,-26.5,116.3,6.5,0.7,7,EPRI
1885,5,12,0,0,0.0,-39.9,148.9,5.96,0.32,26,EPRI
1885,7,2,0,0,0.0,-39.0,146.0,4.92,0.44,26,EPRI
1885,7,14,0,0,0.0,24.0,90.0,5.25,0.5,118,EPRI
1886,9,1,0,0,0.0,32.9,-80.0,6.9,0.17,218,EPRI
1886,10,25,0,0,0.0,61.6,5.9,5.01,0.32,179,EPRI
1886,11,29,0,0,0.0,-34.75,148.8,4.79,0.32,27,EPRI
1888,8,23,0,0,0.0,50.0,134.0,5.53,0.5,139,EPRI
1889,0,0,0,0,0.0,6.8,-6.7,5.09,0.44,100,EPRI
1889,5,30,0,0,0.0,49.5,-0.5,4.77,0.32,196,EPRI
1891,9,27,0,0,0.0,38.25,-88.5,5.52,0.32,230,EPRI
1892,1,26,0,0,0.0,-40.4,149.5,6.35,0.32,26,EPRI
1892,5,15,0,0,0.0,60.6,4.4,5.4,0.32,194,EPRI
1892,8,18,0,0,0.0,51.6,-5.2,4.77,0.32,196,EPRI
1893,11,2,0,0,0.0,51.6,-4.6,4.58,0.32,196,EPRI
1893,11,27,0,0,0.0,45.5,-73.3,5.12,0.48,227,EPRI
1894,7,23,0,0,0.0,68.5,13.0,5.84,0.32,183,EPRI
1895,2,5,0,0,0.0,63.5,5.0,5.47,0.32,183,EPRI
1895,8,8,0,0,0.0,57.0,133.0,6.19,0.44,147,EPRI
1895,8,30,0,0,0.0,23.5,116.3,5.67,0.5,125,EPRI
1895,10,31,0,0,0.0,37.0,-89.4,6.0,0.17,230,EPRI
1896,9,2,0,0,0.0,50.3,2.88,4.87,0.32,196,EPRI
1896,12,17,0,0,0.0,52.02,-2.69,4.75,0.32,187,EPRI
